71;2322;20181127;Дорожные знаки и светофоры;Мало горит светофор;Главное управление строительства Тюменской области;7;0;(57.1, 65.5)
40;2324;20181127;Дорожные знаки и светофоры;"Установите знак ""Остановка запрещена"" ";;1;0;(59.8, 30.2)
45;2323;20181127;Деятельность органов власти в сфере безопасности дорожного движения;Прошу установить видеонаблюдение;Правительство Москвы;0;0;(55.8, 37.6)
46;2326;20181127;Деятельность органов власти в сфере безопасности дорожного движения;Необходима установка камеры контроля остановки транспорта на желтой линии разметки;;0;0;(55.7, 37.8)
20;2325;20181127;Качество дорожного покрытия;Отсутствует нормальное дорожное покрытие ;;0;0;(51.5, 39.1)
71;2327;20181127;Деятельность органов власти в сфере безопасности дорожного движения;За безопасный двор!;Главное управление строительства Тюменской области;0;0;(57.1, 65.5)
60;2319;20181126;Качество дорожного покрытия;Дорога;;1;0;(47.7, 40.2)
57;2321;20181126;Качество дорожного покрытия;Гололёд на дороге;;0;0;(58.0, 56.3)
22;2318;20181126;Качество дорожного покрытия;Дорога;Министерство транспорта и автомобильных дорог Нижегородской области;0;0;(56.2, 43.8)
29;2317;20181125;Пешеходная инфраструктура;Пешеходный переход;;1;0;(54.4, 36.2)
46;2314;20181124;Деятельность органов власти в сфере безопасности дорожного движения;Закрыть поворот с дублера и сделать дорогу только для выезда на дублер;;0;0;(55.6, 37.9)
92;2313;20181124;Деятельность органов власти в сфере безопасности дорожного движения;Расширение дороги;;0;0;(55.6, 52.3)
46;2316;20181125;Дорожные знаки и светофоры;"Знак ""Уступи дорогу"" стоит не в том месте";;0;0;(56.0, 37.8)
46;2315;20181124;Дорожные знаки и светофоры;Не работает часть светофора для машин и пешеходов;;0;0;(55.6, 37.9)
11;2311;20181123;Пешеходная инфраструктура;Пешеходный переход;Министерство транспорта Архангельской области;1;0;(64.7, 40.5)
38;2308;20181123;Пешеходная инфраструктура;Изменение пешеходного дорожного движения  с переносом остановочного комплекса ;Комитет региональной безопасности Курской области;1;0;(51.7, 36.1)
45;2312;20181123;Пешеходная инфраструктура;Установка дорожного ограждения;;1;0;(55.8, 37.4)
22;2309;20181123;Качество дорожного покрытия;Яма в асфальте;Министерство транспорта и автомобильных дорог Нижегородской области;0;0;(56.2, 43.9)
22;2310;20181123;Дорожные знаки и светофоры;Необходима искусственная неровность и (или) камера видео-фиксации;Министерство транспорта и автомобильных дорог Нижегородской области;0;0;(56.2, 43.9)
70;2306;20181122;Пешеходная инфраструктура;Безопасный проход пешеходов;;1;0;(54.1, 37.5)
70;2305;20181122;Пешеходная инфраструктура;Безопасный пешеходный переход;;1;0;(54.1, 37.5)
45;2302;20181122;Деятельность органов власти в сфере безопасности дорожного движения;Установка камеры фотофиксации пересечения стоп-линии и поворота не с соответствующей полосы;;0;0;(55.5, 37.6)
86;2304;20181122;Пешеходная инфраструктура;Пешеходные переходы;;0;0;(62.2, 34.2)
68;2301;20181121;Дорожные знаки и светофоры;Необходимо установить светофор на пересечении улиц Рязанская и Мичуринская;;0;0;(52.7, 41.4)
45;2298;20181121;Дорожная разметка;Неуместный отрезок выделенной полосы.;Правительство Москвы;0;0;(55.7, 37.6)
46;2300;20181121;Деятельность органов власти в сфере безопасности дорожного движения;Затруднение движения;;0;0;(55.6, 37.8)
78;2297;20181121;Ремонтные работы;Ремонт эстакады по направлению Ярославль - Москва;;0;0;(57.4, 39.5)
45;2299;20181121;Деятельность органов власти в сфере безопасности дорожного движения;Перебегающие пешеходы;Правительство Москвы;0;0;(55.6, 37.5)
40;2287;20181120;Пешеходная инфраструктура;Пешеходный переход у школы не оснащён знаками и светофором;;1;0;(59.9, 30.3)
40;2292;20181120;Деятельность органов власти в сфере безопасности дорожного движения;Необходима установка ограждений на перекрестке улиц Бухарестская/Олеко Дундича;;1;0;(59.8, 30.4)
50;2290;20181120;Деятельность органов власти в сфере безопасности дорожного движения;Инвалиды ходят по проезжей части;;1;0;(54.9, 82.9)
